,name,company,Empty,Price,kms_driven,fuel_type,abc,abc2,year
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,,,2015
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,,,2017
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,,,2014
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,,,2018
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,,,2017
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,,,2014
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,,,2016
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,,,2018
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,,,2017
170,Honda Brio,Honda,2012,224999,30000,Petrol,,,2015
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,,,2014
172,Honda Amaze,Honda,2013,284999,46000,Diesel,,,2016
173,Honda City,Honda,2015,599999,30000,Diesel,,,2018
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,,,2015
175,Honda City,Honda,2014,544999,45000,Diesel,,,2017
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,,,2012
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,,,2019
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,,,2018
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,,,2016
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,,,2011
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,,,2014
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,,,2016
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,,,2008
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,,,2019
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,,,2003
186,Honda City,Honda,2015,448999,54000,Petrol,,,2018
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,,,2020
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,,,2010
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,,,2015
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,,,2009
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,,,2014
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,,,2014
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,,,2016
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,,,2016
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,,,2012
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,,,2009
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,,,2015
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,,,2013
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,,,2013
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,,,2012
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,,,2018
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,,,2016
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,,,2017
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,,,2018
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,,,2015
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,,,2022
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,,,2015
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,,,2016
209,Force Motors Force,Force,2015,580000,3200,Diesel,,,2018
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,,,2015
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,,,2022
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,,,2018
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,,,2021
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,,,2014
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,,,2018
216,Honda City ZX,Honda,2008,110000,45000,Petrol,,,2011
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,,,2009
218,Honda City VX,Honda,2016,519000,52000,Diesel,,,2019
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,,,2019
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,,,2018
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,,,2012
